<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.19	01:00:00	2509.62	2510.12	2503.54	2506.70	1397	0	21
2024.08.19	01:05:00	2506.57	2506.57	2502.81	2505.18	830	0	21
2024.08.19	01:10:00	2505.18	2505.80	2504.14	2505.51	486	0	21
2024.08.19	01:15:00	2505.53	2505.53	2502.91	2503.34	533	0	21
2024.08.19	01:20:00	2503.34	2503.91	2502.33	2502.98	633	0	21
2024.08.19	01:25:00	2502.99	2504.69	2502.98	2504.20	605	0	21
2024.08.19	01:30:00	2504.23	2505.40	2503.20	2504.41	671	0	17
2024.08.19	01:35:00	2504.37	2505.34	2503.97	2505.00	617	0	17
2024.08.19	01:40:00	2504.99	2505.04	2503.80	2504.37	427	0	16
2024.08.19	01:45:00	2504.37	2505.50	2504.00	2505.28	395	0	16
2024.08.19	01:50:00	2505.31	2505.84	2504.81	2504.94	371	0	15
2024.08.19	01:55:00	2504.96	2505.43	2504.12	2504.89	308	0	16
2024.08.19	02:00:00	2504.94	2505.41	2504.69	2505.05	207	0	13
2024.08.19	02:05:00	2505.03	2505.20	2504.31	2504.57	258	0	13
2024.08.19	02:10:00	2504.57	2504.74	2504.04	2504.36	282	0	13
2024.08.19	02:15:00	2504.36	2504.82	2504.28	2504.65	165	0	13
2024.08.19	02:20:00	2504.64	2504.64	2504.12	2504.17	107	0	13
2024.08.19	02:25:00	2504.18	2504.30	2503.82	2503.85	158	0	15
2024.08.19	02:30:00	2503.85	2504.06	2503.46	2503.95	157	0	15
2024.08.19	02:35:00	2503.96	2504.56	2503.93	2504.55	101	0	13
2024.08.19	02:40:00	2504.61	2505.35	2504.55	2505.05	210	0	14
2024.08.19	02:45:00	2505.07	2505.89	2504.77	2505.67	267	0	14
2024.08.19	02:50:00	2505.66	2506.63	2505.64	2506.13	318	0	13
2024.08.19	02:55:00	2506.15	2506.82	2505.87	2506.46	368	0	14
2024.08.19	03:00:00	2506.51	2506.75	2505.59	2505.60	722	0	17
2024.08.19	03:05:00	2505.60	2506.01	2505.18	2505.47	587	0	16
2024.08.19	03:10:00	2505.46	2506.73	2505.13	2506.43	508	0	13
2024.08.19	03:15:00	2506.45	2506.75	2506.24	2506.25	542	0	13
2024.08.19	03:20:00	2506.24	2506.39	2503.84	2503.86	617	0	14
2024.08.19	03:25:00	2503.87	2503.99	2502.61	2502.61	633	0	14
